job_id,skill
13151-1625447-1-S,Data Science
13151-1625447-1-S,R
13151-1625447-1-S,Cloud
13151-1625447-1-S,Excel
12462-1617914-1-S,Python
12462-1617914-1-S,Machine Learning
12462-1617914-1-S,C#
12462-1572902-1-S,Python
12462-1572902-1-S,SQL
12462-1572902-1-S,Data Science
12462-1572902-1-S,Data Analytics
20208-68857a48291c4824a5a-S,Artificial Intelligence
20208-68857a48291c4824a5a-S,Data Science
12465-1630777-1-S,Python
12465-1630777-1-S,Artificial Intelligence
12465-1630777-1-S,Data Science
12465-1630777-1-S,Large Language Models
12465-1630777-1-S,Azure
10001-1003676925-S,Python
10001-1003676925-S,SQL
12608-1442843-28033-1-S,Python
12608-1442843-28033-1-S,Power BI
12608-1442843-28033-1-S,Data Science
12608-1442843-28033-1-S,Tableau
12462-1618901-1-S,Python
12462-1618901-1-S,Power BI
12462-1618901-1-S,Data Analytics
12462-1618901-1-S,Tableau
12462-1618901-1-S,R
12462-1618901-1-S,Excel
13151-1618061-1-S,Artificial Intelligence
13151-1618061-1-S,Data Science
13151-1618061-1-S,Excel
10001-1003707901-S,Python
10001-1003707901-S,Artificial Intelligence
10001-1003707901-S,RAG
12462-1605463-1-S,Python
12462-1605463-1-S,Artificial Intelligence
12462-1605463-1-S,Large Language Models
12462-1605463-1-S,Docker
12462-1605463-1-S,AWS
12462-1605463-1-S,Cloud
12462-1605463-1-S,Java
20456-2322161-S,R
12462-1608907-1-S,Python
12462-1608907-1-S,Large Language Models
12462-1608907-1-S,Java
16947-954238931-S,Python
16947-954238931-S,Machine Learning
16947-954238931-S,Artificial Intelligence
16947-954238931-S,Feature Engineering
16947-966681960-S,Python
16947-966681960-S,Machine Learning
16947-966681960-S,Artificial Intelligence
16947-966681960-S,Data Science
16947-966681960-S,Git
16947-966681960-S,Cloud
16947-967924583-S,Python
16947-967924583-S,Artificial Intelligence
16947-967924583-S,Data Science
16947-967924583-S,R
17102-44258235-619-S,Data Science
17102-44258235-619-S,Tableau
17102-44258235-619-S,Excel
20208-7c578873fdf541e78de-S,Data Science
